"points","day","period","nswprice","nswdemand","vicprice","vicdemand","transfer"
"27696","0.375","0.0892857142857143","0.1679244447211657","0.14521678077193942","0.19956879338800573","0.08634688293072496","0.1318761974766218"
"27744","0.3005952380952381","0.1517857142857143","0.12944395381881643","0.07662969883423233","0.1815636099005843","0.07254911788550412","0.1597273296512027"
"27792","0.2857142857142857","0.125","0.1184243116955182","0.20476038967614582","0.15932911270642686","0.16751287112225371","0.11270948095932153"
"27840","0.26785714285714285","0.15476190476190477","0.17064617513630845","0.20139264926234612","0.20505981089623707","0.19734507456595132","0.2087774686424169"
"27888","0.25595238095238093","0.11904761904761904","0.09411928417169761","0.19020385769916456","0.14353800592826146","0.19294676351739398","0.1317912488786389"
"27936","0.2083333333333333","0.05952380952380954","0.12539554811376033","0.13204079658867887","0.15101406059250364","0.0782519168287654","0.07545023216890667"
"27984","0.20535714285714282","0.05654761904761905","0.128204325540155","0.07745688805784477","0.16323066137913392","0.0874874944327416","0.09886713525616289"
"28032","0.15178571428571427","0.08630952380952381","0.06478516972100064","0.061349231809978144","0.05958248445774706","0.08895818290815324","0.08737536894012402"
"28080","0.17857142857142855","0.13690476190476192","0.06052557191393427","0.12349466901945433","0.05059473495451953","0.07986698701159065","0.16729328956712014"
"28128","0.15178571428571427","0.08630952380952381","0.0651645575164232","0.13881871489712183","0.06381549352128979","0.16806780715631067","0.2063613331189521"
"28176","0.14583333333333331","0.10416666666666669","0.01988476857213039","0.1898602321742463","0.01678363432705515","0.10687725963371407","0.2878617333202562"
"28224","0.1875","0.12202380952380953","0.026010872718095997","0.1878697324325768","0.013566051655693419","0.1328763808626336","0.23421872139305186"
"28272","0.17261904761904762","0.14285714285714288","0.011346134759413809","0.17537174273260236","0.03986146832734495","0.12307799483888487","0.19775002266768088"
"28320","0.18452380952380953","0.07142857142857142","0.07876638507990477","0.09480922276861216","0.11387977424110321","0.07744859821977633","0.10705143265423425"
"28368","0.19642857142857142","0.04166666666666667","0.022405663148495028","0.04266625765908587","0.03156664198454401","0.1339940013123321","0.08432393048756001"
"28416","0.16071428571428573","0.05952380952380952","0.07306205671595553","0.10246491760677855","0.023520721636224335","0.15692790849643184","0.0929366663123613"
"28464","0.2113095238095238","0.1279761904761905","0.16786080195785888","0.19130994194321033","0.13064969840395177","0.2598530352201515","0.21463712989467026"
"28512","0.2678571428571429","0.1130952380952381","0.10087916212052153","0.19272638631262565","0.09702047813143477","0.17723482842994703","0.166314660319782"
"28560","0.21130952380952378","0.13392857142857145","0.13953802080169708","0.23278072006367687","0.1568530846404496","0.21551740474156364","0.10481675961827523"
"28608","0.23511904761904762","0.12797619047619047","0.14550421223221718","0.2066709337167327","0.16859671756451727","0.20790836944178656","0.08050347402300356"
"28656","0.21130952380952378","0.09821428571428571","0.2547102834687936","0.30328104483359886","0.3047508458946189","0.2800901386803064","0.2543534692150158"
"28704","0.25","0.1488095238095238","0.2763402054974481","0.24633855260072937","0.365246862313773","0.1213216401240213","0.174848821713606"
"28752","0.24404761904761904","0.11309523809523808","0.23543254399563965","0.18196178877592323","0.3323927724812027","0.09991605616605619","0.15881029579997166"
"28800","0.20535714285714285","0.11607142857142858","0.14959284216452695","0.1831604357076597","0.17404339608324468","0.13511100482053223","0.12710211252017684"
"28848","0.16369047619047616","0.11011904761904762","0.0990390310495609","0.18159681852693815","0.1550253794660609","0.09076896663674668","0.07116194722642169"
"28896","0.17559523809523805","0.15773809523809523","0.14733177054605628","0.27617420685928146","0.17456536822345645","0.15352174273188848","0.18731263089943403"
