"points","day","period","nswprice","nswdemand","vicprice","vicdemand","transfer"
"23088","0.14999330855242185","0.147482887938553","0.37401056797608523","0.19113668898151656","0.42883231984217196","0.23130191510733383","0.4411099983760082"
"23136","0.1837803738696596","0.12565017181088606","0.339862615219758","0.22124162856305712","0.3236471136471136","0.22501418117489544","0.45653316394387816"
"23184","0.1793435574715035","0.1325102610484705","0.25568787825921463","0.19899508085033504","0.23173691582276917","0.20678028981015767","0.383449354332405"
"23232","0.16857514870585405","0.09153521578932328","0.22950768203073582","0.16575566509037126","0.2080624531975109","0.1660007460223101","0.4575881407582638"
"23280","0.1716207605107883","0.037700858319601384","0.22723231740902797","0.17351374360852206","0.156788721454179","0.16243974276996753","0.3846215767781691"
"23328","0.20494083599900148","0.020374815605663614","0.17625984381275744","0.1411782739313172","0.16029492001321055","0.09318901830253447","0.3194471553692139"
"23376","0.16098899689998242","0.04450426918893147","0.16237606892542517","0.16011377307732774","0.08464365310430416","0.14820853690125482","0.2836423123212832"
"23424","0.16624057384151994","0.050692562643085234","0.24033604485529758","0.15549578115626606","0.21743471471920198","0.1506750651668915","0.20064199759291537"
"23472","0.17872567520260335","0.04317272132240642","0.25597453601000875","0.14237714282856953","0.22367373895042608","0.15450120315741914","0.1759346054409031"
"23520","0.1697461020283162","0.06313141947216358","0.25418605895863156","0.13493488059617825","0.20798069180272","0.14090782901751597","0.16002061732835327"
"23568","0.17498581814818517","0.06809055816995598","0.21832438318743191","0.12596163430106985","0.2269257484894685","0.12176274317331093","0.09290582993202612"
"23616","0.24564557606503526","0.08968858892037643","0.22211876213678117","0.14265811269824444","0.18430269409668354","0.15893625012832874","0.1980691699244284"
"23664","0.21614191307100328","0.04429544041089853","0.19892179683982286","0.12067729853201864","0.16322887802160307","0.12136467772348403","0.3174685902748"
"23712","0.19885260798983623","0.044869367686962786","0.23160350839528826","0.12164026719053889","0.2025912267080745","0.14427049022837066","0.3896010154926595"
"23760","0.22488294118311444","0.0999037951492108","0.3195182857159272","0.1627287052054806","0.28532723478771327","0.21142930307545232","0.41557014796202607"
"23808","0.21508853875699407","0.09087712783659231","0.262460778360887","0.11917326892863245","0.1895880914277104","0.21174158421794276","0.32076112016067915"
"23856","0.216700719661246","0.07691485948064897","0.21199474127105705","0.13410968624784414","0.088096801254696","0.19478619018092702","0.21229107939634256"
"23904","0.2310284173976608","0.046772203947368404","0.10709064327485379","0.11027732090643275","0.17881944444444445","0.2015830592105263","0.13254979897660824"
"23952","0.20348030171715714","0.06704095428501393","0.25474073028420857","0.13289474260151715","0.40157335397160976","0.22991946859173856","0.2997903206921154"
"24000","0.1949798567594599","0.0649090192389143","0.44960297895786","0.20478382152040508","0.4750000142149693","0.2040184149711261","0.47384022847723106"
"24048","0.17718675974345222","0.059847540406168714","0.4957430318447327","0.2177897690359665","0.5350163129131602","0.173950576601987","0.5810487847355241"
"24096","0.14374099256224226","0.11766395787716472","0.4569854287669918","0.22350052178958052","0.5093107112064966","0.1933304098029736","0.5703212521417681"
"24144","0.19398768722728132","0.1269896035671111","0.3148882959593888","0.18034809791135561","0.3307938200471456","0.20687685411914347","0.4090094189446596"
"24192","0.2679856826932593","0.08562448552622041","0.22046674490722673","0.2476214801815405","0.17782144857529447","0.2467603406471494","0.2346964685377873"
"24240","0.27118375762624597","0.11856901619118634","0.09592781231119363","0.1829121853450228","0.10540451795787559","0.23022232294229522","0.16842701593610204"
"24288","0.2899396944803677","0.21594050793954372","0.20901042014515014","0.26907315744096955","0.20953276714584573","0.28244003663665307","0.20934807021325258"
"24336","0.3181467333752994","0.1986111231388993","0.42993093831877993","0.3083656894470302","0.40967672802048755","0.251403023033896","0.1708815811190318"
"24384","0.3605713145732047","0.138364162745201","0.5880048716339882","0.3902153131870647","0.5440721888825644","0.19265882839524398","0.17998441976019397"
