"points","day","period","nswprice","nswdemand","vicprice","vicdemand","transfer"
"2352","0.2202380952380952","0.11309523809523808","0.45833333333333326","0.20833333333333334","0.11309523809523811","0.11309523809523811","0.11309523809523811"
"2400","0.2351190476190476","0.10416666666666671","0.5833333333333334","0.1517857142857143","0.04464285714285718","0.04464285714285718","0.04464285714285718"
"2448","0.2619047619047619","0.09523809523809526","0.4523809523809524","0.16071428571428575","0.017857142857142877","0.017857142857142877","0.017857142857142877"
"2496","0.27380952380952384","0.05357142857142859","0.44940476190476186","0.15773809523809523","0.0","0.0","0.0"
"2544","0.26488095238095244","0.08630952380952384","0.33035714285714285","0.1607142857142857","0.008928571428571397","0.008928571428571397","0.008928571428571397"
"2592","0.31845238095238104","0.06249999999999999","0.24107142857142855","0.12797619047619047","0.0625","0.0625","0.0625"
"2640","0.34523809523809534","0.08928571428571427","0.3303571428571428","0.1279761904761905","0.0892857142857143","0.0892857142857143","0.0892857142857143"
"2688","0.3035714285714286","0.13095238095238093","0.32440476190476186","0.13988095238095236","0.13095238095238096","0.13095238095238096","0.13095238095238096"
"2736","0.25297619047619047","0.05059523809523807","0.35714285714285715","0.15773809523809523","0.008928571428571397","0.008928571428571397","0.008928571428571397"
"2784","0.23809523809523808","0.11309523809523808","0.36904761904761907","0.14583333333333331","0.11309523809523811","0.11309523809523811","0.11309523809523811"
"2832","0.2648809523809524","0.16964285714285715","0.42261904761904756","0.17261904761904762","0.16964285714285718","0.16964285714285718","0.16964285714285718"
"2880","0.2708333333333333","0.19940476190476192","0.42857142857142855","0.19940476190476192","0.1994047619047619","0.1994047619047619","0.1994047619047619"
"2928","0.2857142857142857","0.08928571428571427","0.2380952380952381","0.16071428571428573","0.01785714285714282","0.01785714285714282","0.01785714285714282"
"2976","0.3005952380952381","0.13392857142857145","0.3601190476190476","0.18452380952380953","0.09226190476190477","0.09226190476190477","0.09226190476190477"
"3024","0.3214285714285714","0.125","0.369047619047619","0.18154761904761907","0.07142857142857142","0.07142857142857142","0.07142857142857142"
"3072","0.3273809523809524","0.10714285714285714","0.34523809523809523","0.1964285714285714","0.07738095238095236","0.07738095238095236","0.07738095238095236"
"3120","0.29464285714285715","0.18749999999999994","0.31250000000000006","0.19047619047619052","0.13392857142857145","0.13392857142857145","0.13392857142857145"
"3168","0.3214285714285714","0.27976190476190477","0.3452380952380953","0.244047619047619","0.24404761904761907","0.24404761904761907","0.24404761904761907"
"3216","0.35119047619047616","0.23214285714285712","0.2946428571428571","0.2142857142857143","0.21428571428571425","0.21428571428571425","0.21428571428571425"
"3264","0.34226190476190477","0.05654761904761905","0.25","0.08333333333333331","0.0267857142857143","0.0267857142857143","0.0267857142857143"
"3312","0.3214285714285714","0.10119047619047619","0.35416666666666663","0.11011904761904762","0.07738095238095241","0.07738095238095241","0.07738095238095241"
"3360","0.33928571428571425","0.15476190476190477","0.4702380952380953","0.125","0.09523809523809523","0.09523809523809523","0.09523809523809523"
"3408","0.38690476190476186","0.22619047619047616","0.5952380952380952","0.23511904761904762","0.2261904761904762","0.2261904761904762","0.2261904761904762"
"3456","0.41369047619047616","0.2767857142857143","0.7261904761904762","0.2857142857142857","0.2767857142857143","0.2767857142857143","0.2767857142857143"
"3504","0.369047619047619","0.380952380952381","0.755952380952381","0.37499999999999994","0.36904761904761907","0.36904761904761907","0.36904761904761907"
"3552","0.38690476190476186","0.2619047619047619","0.6160714285714286","0.26190476190476186","0.25595238095238093","0.25595238095238093","0.25595238095238093"
"3600","0.34226190476190466","0.13988095238095238","0.44940476190476186","0.23214285714285712","0.12202380952380953","0.12202380952380953","0.12202380952380953"
"3648","0.3363095238095237","0.07440476190476192","0.30059523809523814","0.2589285714285714","0.044642857142857095","0.044642857142857095","0.044642857142857095"
"3696","0.2976190476190476","0.059523809523809534","0.2232142857142857","0.22619047619047616","0.005952380952380931","0.005952380952380931","0.005952380952380931"
"3744","0.2619047619047619","0.13690476190476186","0.255952380952381","0.19345238095238093","0.1369047619047619","0.1369047619047619","0.1369047619047619"
