"points","day_period_nswprice_nswdemand_vicprice_vicdemand_transfer"
"16656","0.520176345500796"
"16704","0.5312649931067954"
"16752","0.4922598981911718"
"16800","0.44017192231918184"
"16848","0.38160873704461784"
"16896","0.3704910145424851"
"16944","0.4070357427592862"
"16992","0.4411504689227307"
"17040","0.4602881307458578"
"17088","0.5798137133011771"
"17136","0.6612520658206685"
"17184","0.7653693054099333"
"17232","0.8398328458893365"
"17280","0.8918593136304037"
"17328","0.9066350248990587"
"17376","0.9666950903924791"
"17472","0.9976543975992889"
"17520","0.992368389373821"
"17568","0.9839531955800335"
"17616","0.9730833290456646"
"17664","0.9683381335209729"
"17712","0.9392852986799904"
"17760","0.9367088963118613"
"17808","0.9210110152962877"
"17856","0.9192343520220634"
"17904","0.8955708563159335"
"17952","0.8867615934878399"
"18000","0.8704580753330382"
"18048","0.8882898333995124"
"18096","0.8724108573030436"
"18144","0.8619375085577585"
"18192","0.8532038206709587"
"18240","0.8700584635499937"
"18288","0.8700972965739648"
"18336","0.8686683375397013"
"18384","0.8754830628377663"
"18432","0.8912584703199917"
"18480","0.8869493533992436"
"18528","0.8847418559325839"
"18576","0.8902835002978204"
"18624","0.8834720595921886"
"18672","0.9034168856425356"
"18720","0.9094672874952703"
"18768","0.8959421630307378"
"18816","0.9088185278284796"
"18864","0.9183860782189653"
"18912","0.9058922978411148"
"18960","0.8795128189463273"
"19008","0.8563694445101391"
"19056","0.8268804896028606"
"19104","0.8150249563426921"
"19152","0.8071647146303547"
"19200","0.8034524163554091"
"19248","0.7852343919918876"
"19296","0.8131567330033411"
"19344","0.8232164218192681"
"19392","0.8167865600203899"
"19440","0.8198968528394796"
"19488","0.8292432398213119"
"19536","0.8158069661332371"
"19584","0.8133786442653421"
"19632","0.7831803089076915"
"19680","0.765278210908292"
"19728","0.7576994191396362"
"19776","0.7384245713102515"
"19824","0.723857400521205"
"19872","0.7495278972564687"
"19920","0.7828182410739113"
"19968","0.8112997348443043"
"20016","0.8318826473859854"
"20064","0.8607760503732252"
"20112","0.8973721494429684"
"20160","0.9139272046264679"
"20208","0.9158339827254334"
"20256","0.9086674340630261"
"20304","0.9023935732383355"
"20352","0.883102400906598"
"20400","0.8558822345860706"
"20448","0.8363095238095224"
"20496","0.8262059284692714"
"20544","0.8206006574216934"
"20592","0.8125669652763254"
"20640","0.8015377954351591"
"20688","0.8077946214936249"
"20736","0.8015659039089562"
"20784","0.8100003912270615"
"20832","0.8170861800072753"
"20880","0.8034761488268659"
"20928","0.7896595705286642"
"20976","0.7988772966451537"
"21024","0.7912266490189983"
"21072","0.8177101034199874"
"21120","0.8253943429859071"
"21168","0.8309647435216947"
"21216","0.8422505994465853"
"21264","0.8629768058133351"
"21312","0.8690476190476213"
"21360","0.8744329072955641"
"21408","0.8653567343530391"
"21456","0.8693029587035119"
"21504","0.8727930715163144"
"21552","0.8791980377918933"
"21600","0.8698852335825029"
"21648","0.8376004807134243"
"21696","0.8828581266571599"
"21744","0.8938675976027006"
"21792","0.878581574675324"
"21840","0.7953250381717427"
"21888","0.7686455044655978"
"21936","0.7755111678468255"
"21984","0.7851194476807632"
"22032","0.780000677169884"
"22080","0.7686157100137467"
"22128","0.7834084525079597"
"22176","0.8548594696064755"
"22224","0.885349264306992"
"22272","0.889953757121978"
"22320","0.9169052319151351"
"22368","0.924269014124372"
"22416","0.9296826710324944"
"22464","0.9265195514306586"
"22512","0.9263417757204979"
"22560","0.9050536217258283"
"22608","0.8568873657521614"
"22656","0.8039512328926544"
"22704","0.7684227454858443"
"22752","0.7431742198720719"
"22800","0.7488273531332834"
"22848","0.7524269799204878"
"22896","0.7580285919381051"
"22944","0.8235085354034498"
"22992","0.8889423719989805"
"23040","0.9327989803877702"
"23088","0.9686528236405083"
"23136","0.9523856247963387"
"23184","0.9334299589751993"
"23232","0.9466169340463195"
"23280","0.921147909374692"
"23328","0.9052464053423005"
"23376","0.8967602019483775"
"23424","0.879052342191905"
"23472","0.8321730207977491"
"23520","0.8274717183802935"
"23568","0.8215523790380578"
"23616","0.8476986114537616"
"23664","0.8570017846227587"
"23712","0.8556182457337342"
"23760","0.8646849049395664"
"23808","0.9230889296893641"
"23856","0.9584203383545471"
"23904","0.9639414290935654"
"23952","0.9671757295619787"
"24000","0.9712373835725001"
"24048","0.9650226287048718"
"24096","0.9677839884474506"
"24144","0.9652763422965757"
"24192","0.9487929278755886"
"24240","0.9380288952030025"
"24288","0.9391801022564534"
"24336","0.9308963970274363"
"24384","0.9389502817200572"
"24432","0.9465494537090284"
"24480","0.9226558108943266"
"24528","0.9206038662419086"
"24576","0.9211470200666856"
"24624","0.9059175030291955"
"24672","0.9058655128975793"
"24720","0.9074691371199441"
"24768","0.8812116347944524"
"24816","0.8639663236804935"
"24864","0.8345528574231812"
"24912","0.8293678700434253"
"24960","0.8451353785098508"
"25008","0.8016295951721288"
"25056","0.7543035410003942"
"25104","0.750615268738748"
"25152","0.7963646987564661"
"25200","0.8125548499468965"
"25248","0.7959793155544104"
"25296","0.7927054699467493"
"25344","0.8027856221803669"
"25392","0.8109441834338151"
"25440","0.8190887243089586"
"25488","0.8241710579308368"
"25536","0.8261336703913932"
"25584","0.8488526883551867"
"25632","0.8526761031979739"
"25680","0.8819389735001327"
"25728","0.9146998438477745"
"25776","0.914939710184483"
"25824","0.8510928353721475"
"25872","0.8079098459732008"
"25920","0.7995823158498372"
"25968","0.7830137709207311"
"26016","0.7705406200179034"
"26064","0.752994015747166"
"26112","0.7531737177761773"
"26160","0.7787201644302608"
"26208","0.818581680449484"
"26256","0.8308084024704846"
"26304","0.8534384616105457"
